id;BSSID;SSID;AvgRSSI;LocationID
2475;ae:53:22:40:4f:e8;NOSMConnect24;-81;44
2476;80:e0:1d:ee:3f:0f;LU-Guest;-81;44
2477;80:e0:1d:ee:3f:0c;LU-Events;-81;44
2478;ac:7a:56:c8:62:0e;LU-Events;-82;44
2479;a6:53:22:40:4f:e8;eduroam;-82;44
2480;aa:53:22:40:4f:e8;NOSMConnect;-82;44
2481;80:e0:1d:ee:3f:0d;eduroam;-82;44
2482;80:e0:1d:ee:3f:0e;LakeheadU;-82;44
2483;ac:7a:56:c8:62:0f;LakeheadU;-83;44
2484;9c:53:22:40:4f:e8;TBAYTech;-83;44
2485;ac:7a:56:c8:62:0c;LU-Guest;-84;44
2486;ac:7a:56:c8:62:0d;;-84;44
2487;ac:7a:56:c8:62:0b;;-84;44
2488;ac:7a:56:c8:62:0a;;-84;44
2489;80:e0:1d:f6:a5:1f;LU-Guest;-84;44
2490;80:e0:1d:f6:a5:1b;Free Tbaytel WiFi;-84;44
2491;80:e0:1d:f6:a5:1d;eduroam;-84;44
2492;80:e0:1d:f6:a5:1e;LakeheadU;-84;44
2493;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-85;44
2494;ac:7a:56:c8:62:07;eduroam;-85;44
2495;80:e0:1d:f6:a5:1c;LU-Events;-85;44
2496;9c:53:22:40:4f:7b;TBAYTech;-88;44
2497;ba:5a:b0:3d:73:b1;;-88;44
2498;aa:53:22:40:4f:7b;NOSMConnect;-89;44
2499;a6:53:22:40:4f:7b;eduroam;-89;44
2500;a2:53:22:40:4f:7b;NOSMSecure;-89;44
2501;6c:5a:b0:3d:73:bf;Quanser_UVS-5G;-90;44
2502;a4:6c:2a:d3:f2:8b;Free Tbaytel WiFi;-93;45
2503;a4:6c:2a:d3:f2:8e;LakeheadU;-91;45
2504;a4:6c:2a:d3:f2:81;LakeheadU;-77;45
2505;a4:6c:2a:d3:f2:80;LU-Guest;-77;45
2506;a4:6c:2a:d3:f2:82;eduroam;-78;45
2507;a4:6c:2a:d3:f2:84;Free Tbaytel WiFi;-77;45
2508;ac:7a:56:c8:62:03;LU-Guest;-81;45
2509;ac:7a:56:c8:62:07;Free Tbaytel WiFi;-80;45
2510;a6:53:22:40:4f:e8;eduroam;-79;45
2511;9c:53:22:40:4f:e8;TBAYTech;-80;45
2512;00:1f:33:bd:d5:34;Lab1012;-73;45
2513;ae:53:22:40:4f:7a;NOSMConnect24;-67;45
2514;aa:53:22:40:4f:7a;NOSMConnect;-66;45
2515;aa:53:22:40:4f:7b;NOSMConnect;-93;45
