id;BSSID;SSID;AvgRSSI;LocationID
1115;80:e0:1d:e6:79:de;LakeheadU;-65;20
1116;80:e0:1d:e6:79:dd;eduroam;-65;20
1117;80:e0:1d:e6:79:dc;LU-Events;-64;20
1118;a2:53:22:40:4f:7b;NOSMSecure;-93;20
1119;80:e0:1d:ac:8b:04;Free Tbaytel WiFi;-83;20
1120;80:e0:1d:ac:8b:03;LU-Events;-83;20
1121;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-77;20
1122;80:e0:1d:ee:3f:6f;LakeheadU;-75;20
1123;80:e0:1d:ee:3f:6b;eduroam;-78;20
1124;aa:53:22:40:4e:05;NOSMConnect;-80;20
1125;80:e0:1d:ac:8b:0d;eduroam;-93;20
1126;82:f2:e0:d1:f9:74;portthru;-75;20
1127;80:e0:1d:ac:8b:0c;LU-Events;-93;20
1128;6c:5a:b0:3d:73:c0;Quanser_UVS-5G;-93;20
1129;a6:53:22:40:4e:05;eduroam;-80;20
1130;80:e0:1d:ac:8b:0f;LU-Guest;-93;20
1131;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-75;20
1132;a4:6c:2a:d4:bf:12;eduroam;-74;20
1133;a4:6c:2a:d4:bf:13;LU-Events;-76;20
1134;a4:6c:2a:d4:bf:10;LU-Guest;-75;20
1135;a4:6c:2a:d4:bf:11;LakeheadU;-73;20
1136;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-57;21
1137;80:e0:1d:e6:79:d0;LU-Guest;-57;21
1138;ac:7a:56:c8:62:07;Free Tbaytel WiFi;-58;21
1139;ac:7a:56:c8:62:01;LU-Events;-58;21
1140;ac:7a:56:c8:62:03;LU-Guest;-58;21
1141;ac:7a:56:c8:62:00;LakeheadU;-58;21
1142;ac:7a:56:c8:62:02;;-58;21
1143;ac:7a:56:c8:62:0d;;-63;21
1144;ac:7a:56:c8:62:0b;;-63;21
1145;ac:7a:56:c8:62:0a;;-63;21
1146;80:e0:1d:e6:79:df;LU-Guest;-64;21
1147;80:e0:1d:e6:79:dc;LU-Events;-64;21
1148;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-65;21
1149;80:e0:1d:e6:79:dd;eduroam;-65;21
1150;80:e0:1d:e6:79:de;LakeheadU;-65;21
1151;ac:7a:56:c8:62:0f;LakeheadU;-67;21
1152;ac:7a:56:c8:62:07;eduroam;-67;21
1153;ac:7a:56:c8:62:0e;LU-Events;-68;21
1154;ac:7a:56:c8:62:0c;LU-Guest;-68;21
1155;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-69;21
1156;80:e0:1d:e6:79:d2;eduroam;-69;21
1157;a6:53:22:40:4f:7a;eduroam;-70;21
1158;a4:6c:2a:e0:20:01;LakeheadU;-71;21
1159;80:e0:1d:ee:3f:61;LU-Guest;-71;21
1160;a4:6c:2a:e0:20:02;eduroam;-71;21
1161;80:e0:1d:ee:3f:62;LU-Events;-72;21
1162;80:e0:1d:ee:3f:64;eduroam;-72;21
1163;a4:6c:2a:e0:20:04;Free Tbaytel WiFi;-72;21
1164;a4:6c:2a:e0:20:03;LU-Events;-72;21
1165;80:e0:1d:ee:3f:63;Free Tbaytel WiFi;-73;21
1166;a4:6c:2a:e0:20:00;LU-Guest;-73;21
1167;a4:6c:2a:d4:bf:11;LakeheadU;-73;21
1168;9c:53:22:40:4e:04;TBAYTech;-73;21
1169;a4:6c:2a:d4:bf:12;eduroam;-74;21
1170;c8:d7:19:24:c6:d5;LINKSYS-750;-74;21
1171;80:e0:1d:ee:3f:6f;LakeheadU;-75;21
1172;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-75;21
1173;a4:6c:2a:d4:bf:10;LU-Guest;-75;21
1174;82:f2:e0:d1:f9:74;portthru;-75;21
