id;BSSID;SSID;AvgRSSI;LocationID
377;80:e0:1d:ee:40:50;LU-Guest;-80;9
378;80:e0:1d:ee:40:53;LU-Events;-79;9
379;ac:7a:56:c8:62:07;Free Tbaytel WiFi;-79;9
380;00:42:68:59:8b:ff;LU-Guest;-87;9
381;00:42:68:59:8b:fc;LU-Events;-88;9
382;00:42:68:59:8b:fb;Free Tbaytel WiFi;-86;9
383;00:42:68:59:8b:fe;LakeheadU;-86;9
384;a4:6c:2a:d4:ba:50;LU-Guest;-84;9
385;80:e0:1d:ee:3f:63;Free Tbaytel WiFi;-80;9
386;80:e0:1d:ee:3f:64;eduroam;-79;9
387;80:e0:1d:ee:3f:60;LakeheadU;-79;9
388;80:e0:1d:ee:3f:61;LU-Guest;-79;9
389;80:e0:1d:ee:3f:62;LU-Events;-81;9
390;a4:6c:2a:d4:bf:1f;LU-Guest;-47;9
391;a4:6c:2a:d4:bf:1d;eduroam;-47;9
392;a4:6c:2a:d4:bf:1e;LakeheadU;-46;9
393;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-47;9
394;a4:6c:2a:d4:bf:1c;LU-Events;-46;9
395;80:e0:1d:e6:79:d2;eduroam;-78;9
396;80:e0:1d:e6:79:d1;LakeheadU;-76;9
397;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-78;9
398;80:e0:1d:e6:79:d3;LU-Events;-78;9
399;00:42:68:59:8b:f1;LakeheadU;-87;9
400;00:42:68:59:8b:f0;LU-Guest;-85;9
401;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-80;9
402;00:42:68:59:8b:f3;LU-Events;-86;9
403;00:42:68:59:8b:f4;Free Tbaytel WiFi;-86;9
404;80:e0:1d:e6:79:df;LU-Guest;-79;9
405;80:e0:1d:e6:79:de;LakeheadU;-80;9
406;80:e0:1d:e6:79:dd;eduroam;-80;9
407;80:e0:1d:e6:79:dc;LU-Events;-80;9
408;80:e0:1d:ac:8b:02;eduroam;-89;9
409;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-83;9
410;80:e0:1d:ee:3f:6d;LU-Events;-83;9
411;80:e0:1d:ee:3f:6e;LU-Guest;-82;9
412;80:e0:1d:ee:3f:6f;LakeheadU;-82;9
413;ae:53:22:40:4e:04;NOSMConnect24;-80;9
414;80:e0:1d:ee:3f:6b;eduroam;-84;9
415;9c:53:22:40:4e:04;TBAYTech;-80;9
416;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-46;9
417;a4:6c:2a:d4:bf:12;eduroam;-44;9
418;a4:6c:2a:d4:bf:13;LU-Events;-43;9
419;a4:6c:2a:d4:bf:10;LU-Guest;-43;9
420;a4:6c:2a:d4:bf:11;LakeheadU;-44;9
421;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-46;10
422;ac:7a:56:c8:62:0f;LakeheadU;-73;11
423;ac:7a:56:c8:62:0e;LU-Events;-72;11
424;ac:7a:56:c8:62:0c;LU-Guest;-71;11
425;ac:7a:56:c8:62:01;LU-Events;-78;11
426;ac:7a:56:c8:62:03;LU-Guest;-79;11
427;80:e0:1d:ee:40:50;LU-Guest;-79;11
428;80:e0:1d:ee:40:52;eduroam;-79;11
429;80:e0:1d:ee:40:51;LakeheadU;-79;11
430;80:e0:1d:ee:40:54;Free Tbaytel WiFi;-80;11
431;80:e0:1d:ee:40:53;LU-Events;-78;11
432;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-71;11
433;ac:7a:56:c8:62:07;eduroam;-71;11
434;00:42:68:59:8b:ff;LU-Guest;-80;11
435;00:42:68:59:8b:fd;eduroam;-80;11
436;a4:6c:2a:d4:ba:53;LU-Events;-79;11
437;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-79;11
438;a4:6c:2a:d4:ba:50;LU-Guest;-79;11
439;a4:6c:2a:d4:ba:51;LakeheadU;-78;11
440;a4:6c:2a:d4:ba:52;eduroam;-78;11
441;ba:a3:32:e1:97:09;Xerox;-92;11
442;a4:6c:2a:d4:ba:5d;eduroam;-92;11
443;a4:6c:2a:d4:ba:5f;LU-Guest;-92;11
444;80:e0:1d:ee:3f:63;Free Tbaytel WiFi;-78;11
445;80:e0:1d:ee:3f:64;eduroam;-78;11
446;80:e0:1d:ee:3f:60;LakeheadU;-77;11
447;80:e0:1d:ee:3f:61;LU-Guest;-78;11
448;80:e0:1d:ee:3f:62;LU-Events;-78;11
449;a4:6c:2a:d4:bf:1f;LU-Guest;-50;11
450;a4:6c:2a:d4:bf:1d;eduroam;-50;11
451;a4:6c:2a:d4:bf:1e;LakeheadU;-50;11
452;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-50;11
453;a4:6c:2a:d4:bf:1c;LU-Events;-50;11
454;00:42:68:59:8b:f1;LakeheadU;-74;11
455;00:42:68:59:8b:f0;LU-Guest;-75;11
456;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-73;11
457;00:42:68:59:8b:f3;LU-Events;-74;11
458;00:42:68:59:8b:f2;eduroam;-73;11
459;00:42:68:59:8b:f4;Free Tbaytel WiFi;-74;11
460;80:e0:1d:e6:79:df;LU-Guest;-80;11
461;80:e0:1d:e6:79:de;LakeheadU;-73;11
462;80:e0:1d:e6:79:dd;eduroam;-74;11
463;80:e0:1d:e6:79:dc;LU-Events;-74;11
464;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-81;11
465;80:e0:1d:ee:3f:6d;LU-Events;-80;11
466;80:e0:1d:ee:3f:6e;LU-Guest;-80;11
467;80:e0:1d:ee:3f:6f;LakeheadU;-81;11
468;ae:53:22:40:4e:04;NOSMConnect24;-82;11
469;80:e0:1d:ee:3f:6b;eduroam;-80;11
470;9c:53:22:40:4e:05;TBAYTech;-88;11
471;9c:53:22:40:4e:04;TBAYTech;-81;11
472;aa:53:22:40:4e:05;NOSMConnect;-88;11
473;aa:53:22:40:4e:04;NOSMConnect;-82;11
474;82:f2:e0:d1:f9:74;portthru;-87;11
475;a6:53:22:40:4e:05;eduroam;-88;11
476;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-44;11
477;a4:6c:2a:d4:bf:12;eduroam;-45;11
478;a4:6c:2a:d4:bf:13;LU-Events;-45;11
479;a4:6c:2a:d4:bf:10;LU-Guest;-45;11
480;a4:6c:2a:d4:bf:11;LakeheadU;-45;11
481;a4:6c:2a:d4:be:30;LU-Guest;-85;11
482;a2:53:22:40:4e:05;NOSMSecure;-88;11
483;a4:6c:2a:d4:be:33;LU-Events;-83;11
484;a4:6c:2a:d4:be:34;Free Tbaytel WiFi;-85;11
485;9c:53:22:40:4f:7a;TBAYTech;-82;12
486;a6:53:22:40:4f:80;eduroam;-85;12
487;ac:7a:56:c8:62:0f;LakeheadU;-80;12
488;ac:7a:56:c8:62:0a;;-81;12
489;ac:7a:56:c8:62:0d;;-80;12
490;ac:7a:56:c8:62:0e;LU-Events;-78;12
491;ac:7a:56:c8:62:0b;;-80;12
492;ac:7a:56:c8:62:0c;LU-Guest;-77;12
493;ac:7a:56:c8:62:00;LakeheadU;-76;12
494;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-81;12
495;ac:7a:56:c8:62:07;eduroam;-80;12
496;00:42:68:59:8b:ff;LU-Guest;-69;12
497;00:42:68:59:8b:fc;LU-Events;-68;12
498;00:42:68:59:8b:fb;Free Tbaytel WiFi;-67;12
499;00:42:68:59:8b:fe;LakeheadU;-68;12
500;00:42:68:59:8b:fd;eduroam;-69;12
501;a4:6c:2a:d4:ba:53;LU-Events;-68;12
502;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-68;12
503;a4:6c:2a:d4:ba:50;LU-Guest;-68;12
504;a4:6c:2a:d4:ba:51;LakeheadU;-68;12
505;a4:6c:2a:d4:ba:52;eduroam;-68;12
506;a4:6c:2a:e0:20:03;LU-Events;-88;12
507;a4:6c:2a:d4:ba:5c;LU-Events;-86;12
508;a4:6c:2a:d4:ba:5d;eduroam;-86;12
509;a4:6c:2a:d4:ba:5f;LU-Guest;-86;12
510;a4:6c:2a:d4:ba:5b;Free Tbaytel WiFi;-85;12
511;aa:53:22:40:4f:80;NOSMConnect;-89;12
512;a4:6c:2a:d4:bf:1f;LU-Guest;-55;12
513;a4:6c:2a:d4:bf:1d;eduroam;-56;12
514;a4:6c:2a:d4:bf:1e;LakeheadU;-56;12
515;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-56;12
516;a4:6c:2a:d4:bf:1c;LU-Events;-56;12
517;80:e0:1d:e6:79:d2;eduroam;-71;12
518;80:e0:1d:e6:79:d1;LakeheadU;-72;12
519;80:e0:1d:e6:79:d0;LU-Guest;-71;12
520;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-71;12
521;80:e0:1d:e6:79:d3;LU-Events;-71;12
522;a4:6c:2a:d4:be:3f;LU-Guest;-92;12
523;a4:6c:2a:d4:be:3c;LU-Events;-91;12
524;a4:6c:2a:d4:be:3b;Free Tbaytel WiFi;-91;12
525;00:42:68:59:8b:f1;LakeheadU;-66;12
526;00:42:68:59:8b:f0;LU-Guest;-66;12
527;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-81;12
528;00:42:68:59:8b:f2;eduroam;-66;12
529;00:42:68:59:8b:f4;Free Tbaytel WiFi;-67;12
530;80:e0:1d:e6:79:df;LU-Guest;-82;12
531;80:e0:1d:e6:79:de;LakeheadU;-82;12
532;80:e0:1d:e6:79:dd;eduroam;-82;12
533;80:e0:1d:e6:79:dc;LU-Events;-82;12
534;a2:53:22:40:4f:80;NOSMSecure;-87;12
535;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-79;12
536;80:e0:1d:ee:3f:6d;LU-Events;-79;12
537;80:e0:1d:ee:3f:6e;LU-Guest;-78;12
538;80:e0:1d:ee:3f:6f;LakeheadU;-78;12
539;80:e0:1d:ee:3f:6b;eduroam;-79;12
540;9c:53:22:40:4e:05;TBAYTech;-90;12
541;aa:53:22:40:4e:05;NOSMConnect;-91;12
542;82:f2:e0:d1:f9:74;portthru;-80;12
543;a6:53:22:40:4e:05;eduroam;-90;12
544;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-50;12
545;a4:6c:2a:d4:bf:12;eduroam;-67;12
546;a4:6c:2a:d4:bf:13;LU-Events;-53;12
547;a4:6c:2a:d4:bf:10;LU-Guest;-51;12
548;a4:6c:2a:d4:bf:11;LakeheadU;-51;12
549;a2:53:22:40:4e:05;NOSMSecure;-90;12
550;ac:7a:56:c8:62:0e;LU-Events;-75;13
551;ac:7a:56:c8:62:0c;LU-Guest;-76;13
552;ac:7a:56:c8:62:01;LU-Events;-80;13
553;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-75;13
554;ac:7a:56:c8:62:07;eduroam;-75;13
555;00:42:68:59:8b:ff;LU-Guest;-69;13
556;00:42:68:59:8b:fc;LU-Events;-67;13
557;00:42:68:59:8b:fb;Free Tbaytel WiFi;-68;13
558;00:42:68:59:8b:fe;LakeheadU;-68;13
559;00:42:68:59:8b:fd;eduroam;-68;13
560;a4:6c:2a:d4:ba:53;LU-Events;-70;13
561;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-70;13
562;a4:6c:2a:d4:ba:50;LU-Guest;-70;13
563;a4:6c:2a:d4:ba:51;LakeheadU;-70;13
564;a4:6c:2a:d4:ba:52;eduroam;-69;13
565;ba:a3:32:e1:97:09;Xerox;-90;13
